ANNEE_DOA,DELEGATION,GOUV,INV,PRIMES
2015,الناظور,زغوان,495793,93383
2015,بوسا لم,جندوبة,3321618,307467
2015,الشبيكة,القيروان,2659000,345626
2015,الغريبة,صفاقس,824345,151295
2015,المهدية,المهدية,3094700,256687
2015,حاجب العيون,القيروان,2572601,428767
2015,سيدي بوزيد الشرقية,سيدي بوزيد,1929767,339800
2014,صيادة لمطة بوحجر,المنستير,826000,122321
2015,غارالدماء,جندوبة,561431,83810
2015,زغوان,زغوان,4941784,658681
2015,القصرين الجنوبية,القصرين,2707812,520345
2016,شربان,المهدية,2546500,485527
2014,حمام الأنف,بن عروس,320000,11952
2014,سيدي علي بن عون,سيدي بوزيد,3032706,602080
2015,تستور,باجة,46096331,1807027
2014,قرقنة,صفاقس,567803,45671
2015,جدليان,القصرين,520214,129744
2015,القيروان الشما لية,القيروان,1637000,292681
2016,مارث,قابس,2260115,412136
2015,بوعرقوب,نابل,728661,91977
2016,سوسة المدينة,سوسة,568500,32982
2016,جندوبة,جندوبة,5515988,346868
2016,قلعة سنان,الكاف,457627,69331
2016,سيدي ثابت,أريانة,2573380,184896
2016,القصرين الجنوبية,القصرين,3597777,680802
2016,برج العامري,منــوبة,10974812,780692
2016,السند,قفصة,5209054,1107903
2016,قبلاط,باجة,6836120,490091
2016,قرقنة,صفاقس,604532,72322
2016,طبلبة,المنستير,15921400,1082516
2016,نفزة,باجة,848627,65609
2016,برقو,سليانة,2128000,340971
2016,غار الملح,بنزرت,6744298,487363
2016,أولاد حفوز,سيدي بوزيد,9996730,561479
2010,سيدي بورويس,سليانة,1093800,171560
2010,جدليان,القصرين,946708,176048
2010,طبرقة,جندوبة,174752,28541
2010,طينة,صفاقس,155700,16692
2011,زرمدين,المنستير,114800,7308
2011,طبرقة,جندوبة,305198,72596
2011,الوردانين,المنستير,253400,29977
2012,برقو,سليانة,363000,80383
2013,سجنان,بنزرت,597775,50264
2012,بوعرادة,سليانة,521000,123188
2012,بو مرداس,المهدية,1482000,214781
2012,قابس الغربية,قابس,163755,39018
2012,ساقية الزيت,صفاقس,1520000,53019
2013,حمام الغزاز,نابل,113444,10253
2013,مطماطة الجديدة,قابس,581428,90405
2013,مساكن,سوسة,17045500,967555
2012,رواد,أريانة,2004200,101881
2013,بومهل البساتين,بن عروس,61000,8411
